case_id,sim_completed,converged,frequency_nadir_hz,frequency_zenith_hz,max_rotor_angle_separation_deg,max_rotor_angle_separation_raw_deg,max_rotor_angle_separation_coi_deg,final_rotor_angle_separation_coi_deg,mean_frequency_hz,final_mean_frequency_hz,frequency_drift_hz_per_s,initial_pm_pe_residual_norm,initial_pm_pe_max_abs_residual,mean_pm,mean_pe,total_load_mw,total_generation_mw,pm_update_load_shed_mw,pm_update_old_total_load_mw,pm_update_new_total_load_mw,pm_update_old_total_pm,pm_update_new_total_pm,pm_update_mode,max_line_loading_ratio,dynamic_trip_count,dynamic_unstable,dynamic_unstable_by_frequency,dynamic_unstable_by_rotor_angle,dynamic_unstable_by_unresolved_relay,dynamic_unstable_by_sim_failure,dynamic_unstable_by_other,unstable_reason,passive_relay_trip_count,security_redispatch_count,dynamic_load_shed_mw,max_security_violation_loading_ratio,max_relay_violation_loading_ratio,relay_beta,result_source,dynamic_stress_score,stress_rank,stress_reason,group
dyn_case_0025,1,1,49.4777126727732,50.7578804712801,179.986432502118,339.971148005296,179.986432502118,131.866195966269,50.0000000000002,50,1.4210854715202e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.376612549856028,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.022287327226798936,28,low_frequency,lodf_top50
dyn_case_0049,1,1,49.4777126727732,50.7578804712801,179.986432502118,340.015480445632,179.986432502118,128.65919183962,50.0000000000002,50,-2.8421709430404e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.376799966556552,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.022287327226798936,29,low_frequency,lodf_top50
dyn_case_0004,1,1,49.4863054525115,50.7553727347983,179.731661716962,298.081625523948,179.731661716962,125.720365864933,50.0000000000001,50,-1.4210854715202e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.375390908005156,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.013694547488498188,30,low_frequency,lodf_top50
dyn_case_0020,1,1,49.4867479481423,50.7553727347983,179.695452807596,298.081625523949,179.695452807596,127.288507517757,50.0,50,2.1316282072803e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.375390908005155,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.013252051857698177,31,low_frequency,lodf_top50
dyn_case_0050,1,1,49.4882047874451,50.7734886017688,179.988565974581,342.057216461306,179.988565974581,175.460303249027,50.0000000000001,50,-2.1316282072803e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.375154238613855,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.011795212554901013,32,low_frequency,lodf_top50
dyn_case_0024,1,1,49.4883559693413,50.7734886017688,179.993602407756,333.616490923513,179.993602407756,174.836506149684,49.9999999999999,50,7.105427357601e-16,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.375154238613855,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.011644030658700899,33,low_frequency,lodf_top50
dyn_case_0006,1,1,49.490691187721,50.7602484833518,179.968357028352,362.079391425295,179.968357028352,140.250746820776,50.0000000000001,50,-7.105427357601e-16,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.377800595224144,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.009308812279002154,34,low_frequency,lodf_top50
dyn_case_0003,1,1,49.4958375799025,50.763883128037,179.949265172563,358.718921622712,179.949265172563,174.035639022706,50.0,50,-1.4210854715202e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.377134038424858,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.004162420097500785,35,low_frequency,lodf_top50
dyn_case_0036,1,1,49.4986191229084,50.7089577768583,179.915759709812,274.096226372951,179.915759709812,128.062260637304,50.0,50,1.4210854715202e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.371573503907305,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.0013808770915986202,36,low_frequency,lodf_top50
dyn_case_0038,1,1,49.4986191229084,50.7089577768583,179.915759709812,274.211301928569,179.915759709812,134.72948538167,50.0000000000002,50,-7.105427357601e-16,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.36796258176024,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.0013808770915986202,37,low_frequency,lodf_top50
dyn_case_0048,1,1,49.4986191229084,50.7089577768583,179.915759709812,274.257703459839,179.915759709812,139.772445714834,50.0000000000002,50,-1.4210854715202e-15,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.377056338145773,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.0013808770915986202,38,low_frequency,lodf_top50
dyn_case_0028,1,1,49.4991629004606,50.7271406036573,179.986063467921,286.264976993677,179.986063467921,130.29469531385,50.0000000000001,50,0.0,0,0,-3.57458170807342e-18,-3.57458170807342e-18,3125.90775291889,3125.90775291889,0,3125.90775291889,3125.90775291889,-1.17961196366423e-16,-1.17961196366423e-16,rebalance_to_current_pe,0.377193090954423,2,0,0,0,0,0,0,stable_by_swing_prototype_thresholds,0,0,0,0,0,1.5,simulink_swing_prototype,0.0008370995394031411,39,low_frequency,lodf_top50
