target_name,target_mode,top_quantile,positive_weight,overall_accuracy,hit_rate,cover_rate,precision,recall,f1,average_precision,roc_auc,mean_positive_score,mean_negative_score,positive_negative_score_gap,positive_prediction_rate_at_0.5,positive_prediction_rate_at_0.8,true_positive,true_negative,false_positive,false_negative,num_labels,num_positive_labels,split
critical_count_top30,critical_count_topq,0.3,200.0,0.30718954248366015,0.30718954248366015,1.0,0.30718954248366015,1.0,0.47000000000000003,0.28175241951653973,0.48772142211963065,0.7360768040761034,0.7360897940003647,-1.2989924261241903e-05,1.0,0.0,376,0,848,0,1224,376,train
critical_count_top30,critical_count_topq,0.3,200.0,0.3114754098360656,0.3114754098360656,1.0,0.3114754098360656,1.0,0.475,0.3388421386767336,0.5451127819548872,0.7360789085689344,0.7360994290737879,-2.0520504853460686e-05,1.0,0.0,19,0,42,0,61,19,validation
critical_count_top30,critical_count_topq,0.3,200.0,0.30113636363636365,0.30113636363636365,1.0,0.30113636363636365,1.0,0.46288209606986896,0.34706737475220095,0.37628470624328886,0.7360742811886769,0.7360864175044424,-1.2136315765465255e-05,1.0,0.0,53,0,123,0,176,53,test
relay_count_top10,relay_count_topq,0.1,20.0,0.10677618069815195,0.10677618069815195,1.0,0.10677618069815195,1.0,0.19294990723562153,0.12848407450379262,0.5931378327930052,0.6901457225665067,0.687401041262908,0.0027446813035987283,1.0,0.0,156,0,1305,0,1461,156,overall
relay_count_top10,relay_count_topq,0.1,20.0,0.10702614379084967,0.10702614379084967,1.0,0.10702614379084967,1.0,0.19335793357933578,0.1353892569053382,0.6135854116759671,0.690869431914264,0.6874925078106712,0.0033769241035928044,1.0,0.0,131,0,1093,0,1224,131,train
relay_count_top10,relay_count_topq,0.1,20.0,0.11475409836065574,0.11475409836065574,1.0,0.11475409836065574,1.0,0.2058823529411765,0.19185223568202295,0.582010582010582,0.6891164524214608,0.6867631960798193,0.0023532563416415186,1.0,0.0,7,0,54,0,61,7,validation
relay_count_top10,relay_count_topq,0.1,20.0,0.10227272727272728,0.10227272727272728,1.0,0.10227272727272728,1.0,0.18556701030927836,0.09429159934827593,0.4532348804500703,0.6852789984809028,0.6869862988779817,-0.0017073003970788925,1.0,0.0,18,0,158,0,176,18,test
relay_count_top10,relay_count_topq,0.1,8.365384615384615,0.8186173853524983,0.22613065326633167,0.28846153846153844,0.22613065326633167,0.28846153846153844,0.2535211267605634,0.17881427336993688,0.643069063758719,0.4666211634205702,0.44387328436319856,0.022747879057371634,0.13620807665982204,0.0,45,1151,154,111,1461,156,overall
relay_count_top10,relay_count_topq,0.1,8.365384615384615,0.8227124183006536,0.23780487804878048,0.29770992366412213,0.23780487804878048,0.29770992366412213,0.26440677966101694,0.19219553583298893,0.6691506673278252,0.4756963216621457,0.4444091738306484,0.03128714783149733,0.13398692810457516,0.0,39,968,125,92,1224,131,train
relay_count_top10,relay_count_topq,0.1,8.365384615384615,0.8524590163934426,0.4,0.5714285714285714,0.4,0.5714285714285714,0.47058823529411764,0.32675115582092323,0.6507936507936508,0.46908783486911226,0.4447521487319911,0.02433568613712117,0.16393442622950818,0.0,4,48,6,3,61,7,validation
relay_count_top10,relay_count_topq,0.1,8.365384615384615,0.7784090909090909,0.08,0.1111111111111111,0.08,0.1111111111111111,0.09302325581395349,0.1174708797062041,0.4658931082981716,0.3996149173213376,0.4398657788958731,-0.0402508615745355,0.14204545454545456,0.0,2,135,23,16,176,18,test
relay_count_top10,relay_count_topq,0.1,50.0,0.10677618069815195,0.10677618069815195,1.0,0.10677618069815195,1.0,0.19294990723562153,0.09485240922295769,0.4779693486590038,0.7060508750952207,0.7069128058422571,-0.0008619307470364435,1.0,0.0,156,0,1305,0,1461,156,overall
relay_count_top10,relay_count_topq,0.1,50.0,0.10702614379084967,0.10702614379084967,1.0,0.10702614379084967,1.0,0.19335793357933578,0.09869742331168069,0.4989908019806821,0.7065420924252226,0.7069688148162612,-0.0004267223910385809,1.0,0.0,131,0,1093,0,1224,131,train
relay_count_top10,relay_count_topq,0.1,50.0,0.11475409836065574,0.11475409836065574,1.0,0.11475409836065574,1.0,0.2058823529411765,0.10387920204093826,0.4021164021164021,0.7045308692114693,0.7068670634870176,-0.002336194275548209,1.0,0.0,7,0,54,0,61,7,validation
