method,universe,K,search_budget_ratio,critical_hit_count,recall_critical,precision_at_k,relay_cascade_hit_count,recall_relay_cascade,island_only_hit_count,recall_island_only,captured_load_shed_mw
path_prob,full,326,0.010012285012285013,139,0.07924743443557583,0.4263803680981595,129,0.07851491174680462,10,0.09009009009009009,4831.639565859364
path_prob,full,500,0.015356265356265357,203,0.11573546180159636,0.406,190,0.11564211807668898,13,0.11711711711711711,7027.016386988351
path_prob,full,651,0.019993857493857493,250,0.14253135689851767,0.38402457757296465,237,0.14424832623250153,13,0.11711711711711711,8657.416881273051
path_prob,full,1000,0.030712530712530713,360,0.20524515393386544,0.36,341,0.20754716981132076,19,0.17117117117117117,12400.524042676152
path_prob,full,1500,0.04606879606879607,518,0.2953249714937286,0.3453333333333333,484,0.2945830797321972,34,0.3063063063063063,17492.098507923227
path_prob,full,1628,0.05,559,0.3187001140250855,0.34336609336609336,522,0.317711503347535,37,0.3333333333333333,18729.60131236268
path_prob,full,2000,0.06142506142506143,634,0.3614595210946408,0.317,593,0.36092513694461353,41,0.36936936936936937,21342.40583018616
path_prob,full,2116,0.06498771498771498,663,0.37799315849486886,0.31332703213610585,619,0.3767498478393183,44,0.3963963963963964,22250.692000376643
path_prob,full,2500,0.07678132678132678,770,0.43899657924743446,0.308,722,0.4394400486914181,48,0.43243243243243246,25904.196437394836
path_prob,full,3000,0.09213759213759214,866,0.49372862029646525,0.2886666666666667,807,0.49117468046256846,59,0.5315315315315315,29228.782504615538
path_prob,full,3256,0.1,922,0.5256556442417332,0.2831695331695332,859,0.5228241022519781,63,0.5675675675675675,31083.7885346141
path_prob,full,4000,0.12285012285012285,1045,0.5957810718358039,0.26125,969,0.5897748021911138,76,0.6846846846846847,35053.97910689656
path_prob,full,4884,0.15,1171,0.6676168757126568,0.23976248976248976,1085,0.660377358490566,86,0.7747747747747747,39329.433064120254
path_prob,full,5000,0.15356265356265356,1185,0.6755986316989738,0.237,1099,0.6688983566646378,86,0.7747747747747747,39757.715412389065
path_prob,full,6512,0.2,1312,0.7480045610034207,0.20147420147420148,1220,0.7425441265976872,92,0.8288288288288288,43695.84380071786
path_prob,full,10000,0.3071253071253071,1531,0.8728620296465223,0.1531,1434,0.8727936701156421,97,0.8738738738738738,51170.796120571315
path_prob,full,32560,1.0,1754,1.0,0.05386977886977887,1643,1.0,111,1.0,58428.28332507551
n1_gate_plus_path_prob,full,100,0.003071253071253071,94,0.053591790193842644,0.94,88,0.05356055995130858,6,0.05405405405405406,3414.487103264604
n1_gate_plus_path_prob,full,163,0.005006142506142506,152,0.08665906499429875,0.9325153374233128,145,0.08825319537431528,7,0.06306306306306306,5436.920944602953
n1_gate_plus_path_prob,full,200,0.006142506142506142,188,0.10718358038768529,0.94,179,0.10894704808277542,9,0.08108108108108109,6728.5837926883905
n1_gate_plus_path_prob,full,326,0.010012285012285013,307,0.1750285062713797,0.941717791411043,295,0.17954960438222764,12,0.10810810810810811,10973.695365101436
n1_gate_plus_path_prob,full,500,0.015356265356265357,474,0.2702394526795895,0.948,449,0.2732805842970176,25,0.22522522522522523,16575.031096902356
n1_gate_plus_path_prob,full,651,0.019993857493857493,615,0.3506271379703535,0.9447004608294931,583,0.3548387096774194,32,0.2882882882882883,21514.085728016657
n1_gate_plus_path_prob,full,1000,0.030712530712530713,929,0.5296465222348917,0.929,874,0.5319537431527693,55,0.4954954954954955,32142.378956049644
n1_gate_plus_path_prob,full,1500,0.04606879606879607,1355,0.7725199543899658,0.9033333333333333,1288,0.7839318320146075,67,0.6036036036036037,46395.88218879509
n1_gate_plus_path_prob,full,1628,0.05,1457,0.830672748004561,0.894963144963145,1390,0.8460133901399878,67,0.6036036036036037,49839.10791824035
n1_gate_plus_path_prob,full,2000,0.06142506142506143,1579,0.9002280501710376,0.7895,1509,0.9184418746195983,70,0.6306306306306306,53817.203866362164
n1_gate_plus_path_prob,full,2116,0.06498771498771498,1586,0.9042189281641961,0.7495274102079396,1515,0.9220937309799148,71,0.6396396396396397,54014.57441432272
n1_gate_plus_path_prob,full,2500,0.07678132678132678,1605,0.9150513112884835,0.642,1532,0.9324406573341448,73,0.6576576576576577,54408.236476007594
n1_gate_plus_path_prob,full,3000,0.09213759213759214,1630,0.9293044469783353,0.5433333333333333,1551,0.9440048691418138,79,0.7117117117117117,55034.03045410615
n1_gate_plus_path_prob,full,3256,0.1,1638,0.9338654503990877,0.5030712530712531,1558,0.9482653682288497,80,0.7207207207207207,55225.85612181858
n1_gate_plus_path_prob,full,4000,0.12285012285012285,1656,0.9441277080957811,0.414,1572,0.9567863664029215,84,0.7567567567567568,55642.702844583044
n1_gate_plus_path_prob,full,4884,0.15,1677,0.9561003420752565,0.34336609336609336,1588,0.9665246500304321,89,0.8018018018018018,56215.32995140784
n1_gate_plus_path_prob,full,5000,0.15356265356265356,1679,0.9572405929304447,0.3358,1590,0.967741935483871,89,0.8018018018018018,56277.76721458857
n1_gate_plus_path_prob,full,6512,0.2,1697,0.9675028506271379,0.2605958230958231,1605,0.9768715763846622,92,0.8288288288288288,56687.57794403384
n1_gate_plus_path_prob,full,10000,0.3071253071253071,1722,0.9817559863169898,0.1722,1626,0.9896530736457699,96,0.8648648648648649,57579.91069161958
n1_gate_plus_path_prob,full,32560,1.0,1754,1.0,0.05386977886977887,1643,1.0,111,1.0,58428.2833250755
residual_path_prob,residual,100,0.003246753246753247,11,0.05555555555555555,0.11,8,0.05194805194805195,3,0.06818181818181818,250.44625018444088
residual_path_prob,residual,154,0.005,15,0.07575757575757576,0.09740259740259741,12,0.07792207792207792,3,0.06818181818181818,358.2077381288623
residual_path_prob,residual,200,0.006493506493506494,19,0.09595959595959595,0.095,16,0.1038961038961039,3,0.06818181818181818,514.4466881227926
residual_path_prob,residual,308,0.01,27,0.13636363636363635,0.08766233766233766,23,0.14935064935064934,4,0.09090909090909091,755.3065658236559
residual_path_prob,residual,500,0.016233766233766232,36,0.18181818181818182,0.072,32,0.2077922077922078,4,0.09090909090909091,942.8576824072213
residual_path_prob,residual,616,0.02,43,0.21717171717171718,0.0698051948051948,38,0.24675324675324675,5,0.11363636363636363,1095.5564928435258
residual_path_prob,residual,1000,0.032467532467532464,63,0.3181818181818182,0.063,53,0.34415584415584416,10,0.22727272727272727,1591.5475788266979
residual_path_prob,residual,1500,0.048701298701298704,83,0.41919191919191917,0.05533333333333333,70,0.45454545454545453,13,0.29545454545454547,2086.438757551286
residual_path_prob,residual,1540,0.05,83,0.41919191919191917,0.05389610389610389,70,0.45454545454545453,13,0.29545454545454547,2086.4387575512856
residual_path_prob,residual,2000,0.06493506493506493,94,0.47474747474747475,0.047,78,0.5064935064935064,16,0.36363636363636365,2321.471346099652
residual_path_prob,residual,2002,0.065,94,0.47474747474747475,0.04695304695304695,78,0.5064935064935064,16,0.36363636363636365,2321.471346099652
residual_path_prob,residual,2116,0.06870129870129871,94,0.47474747474747475,0.0444234404536862,78,0.5064935064935064,16,0.36363636363636365,2321.471346099652
residual_path_prob,residual,2500,0.08116883116883117,105,0.5303030303030303,0.042,87,0.564935064935065,18,0.4090909090909091,2597.8700705834763
residual_path_prob,residual,3000,0.09740259740259741,119,0.601010101010101,0.03966666666666667,98,0.6363636363636364,21,0.4772727272727273,3013.5494906262807
residual_path_prob,residual,3080,0.1,120,0.6060606060606061,0.03896103896103896,99,0.6428571428571429,21,0.4772727272727273,3031.895988587155
residual_path_prob,residual,3256,0.10571428571428572,124,0.6262626262626263,0.038083538083538086,101,0.6558441558441559,23,0.5227272727272727,3133.456109625734
residual_path_prob,residual,4000,0.12987012987012986,134,0.6767676767676768,0.0335,110,0.7142857142857143,24,0.5454545454545454,3393.0114428107945
residual_path_prob,residual,4620,0.15,140,0.7070707070707071,0.030303030303030304,115,0.7467532467532467,25,0.5681818181818182,3517.616795816775
residual_path_prob,residual,5000,0.16233766233766234,141,0.7121212121212122,0.0282,116,0.7532467532467533,25,0.5681818181818182,3522.490479174032
residual_path_prob,residual,6160,0.2,151,0.7626262626262627,0.024512987012987014,123,0.7987012987012987,28,0.6363636363636364,3843.3661589549138
residual_path_prob,residual,10000,0.3246753246753247,173,0.8737373737373737,0.0173,143,0.9285714285714286,30,0.6818181818181818,4651.351987101121
residual_path_prob,residual,30800,1.0,198,1.0,0.0064285714285714285,154,1.0,44,1.0,5263.195860215692
